SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_ScreenResult_PS_NG,PSP_HPLC_ResultHighValueCalculatedFromMethodUncertainty,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired
BTX/2011/0354,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2011-02-21,2011-02-22,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2011/0355,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2011-02-21,2011-02-22,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0378,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2011-02-22,2011-02-23,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0386,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2011-02-23,2011-02-24,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0387,Swale,B076A,Swale BC,TQ97006640,River Swale #1,2011-02-23,2011-02-24,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0388,Ravenglass,B053D,Copeland DC,SD08139555,Ravenglass,2011-02-23,2011-02-24,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0389,Silloth,B059L,Allerdale DC,NY10055345,Lees Scar,2011-02-22,2011-02-24,Mussels,NG,,,Insufficient,,<RL,Additional flesh sample requested
BTX/2011/0390,Fal,B033P,Cornwall PHA,SW83883621,East Bank,2011-02-23,2011-02-24,Native Oysters,,,,Insufficient,,,Additional flesh sample requested
BTX/2011/0393,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2011-02-24,2011-02-25,Mussels,NG,,,Insufficient,,<RL,Additional flesh sample requested
BTX/2011/0394,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2011-02-24,2011-02-25,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0416,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2011-03-01,2011-03-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0417,Exe,B026E,Teignbridge DC,SX97808090,Pool,2011-02-28,2011-03-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0418,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-02-28,2011-03-02,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0419,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2011-03-01,2011-03-02,Mussels,,,,,NEGATIVE,,
BTX/2011/0424,The Wash,B004O,Kings Lynn & W Norfolk BC,TF65803700,Heacham South,2011-03-02,2011-03-03,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2011/0425,Dovey,B041M,Gwynedd CC,SN61429590,Aberdyfi - West,2011-03-02,2011-03-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0426,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2011-02-02,2011-03-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0427,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2011-03-02,2011-03-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0428,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2011-03-02,2011-03-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0429,Camel,B035X,Cornwall CC,SW93428533 ,Porthilly Cove,2011-03-02,2011-03-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0430,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2011-03-03,2011-03-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0431,Poole,B054P,Poole BC,SY99448968,Hamworthy,2011-03-03,2011-03-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0432,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2011-03-03,2011-03-04,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0446,Alde/Ore,B008D,Suffolk Coastal DC,TM46055446,Home Reach,2011-03-07,2011-03-08,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2011/0447,Holy Island-Ross Links,B001O,Northumberland CC,NU12333958,Ross Links,2011-03-07,2011-03-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0448,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2011-03-07,2011-03-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0449,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-03-06,2011-03-08,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2011/0450,The Wash,B004H,Kings Lynn & W Norfolk BC,TF52102890,Breast Sand,2011-03-07,2011-03-08,Cockles,NG,,,Insufficient,,<RL,Additional flesh sample requested
