SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(mgPerkg),ActionRequired
BTX/2019/1364,Poole,B54CU,Bournemouth Poole Christchurch Council,SZ09079041,Poole Coastal,2019-07-03,2019-07-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1365,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2019-07-03,2019-07-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1366,Porlock,B094E,Somerset West & Taunton Council,SS87184778,Porlock Relay,2019-07-03,2019-07-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1367,Deben,B010O,East Suffolk Council,TM28834500,Stonner Point,2019-07-03,2019-07-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1368,Butley,B009E,East Suffolk Council,TM39434850,Pumping Station Outfall,2019-07-03,2019-07-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1385,St. Austell Bay,B70AM,Cornwall PHA,SX02264678,Pentewan,2019-07-08,2019-07-09,Mussels,,,,102,<RL,<RL,,Additional flesh and water samples requested
BTX/2019/1386,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2019-07-08,2019-07-09,Mussels,ND,,,63,<RL,<RL,<LOQ,
BTX/2019/1387,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2019-07-08,2019-07-09,Mussels,,,,91,<RL,<RL,,Additional flesh and water samples requested
BTX/2019/1388,St. Austell Bay,B70AL,Cornwall PHA,SX02264678,Pentewan,2019-07-08,2019-07-09,Razors,,,,<RL,<RL,<RL,,
BTX/2019/1389,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2019-07-08,2019-07-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1390,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2019-07-07,2019-07-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1391,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2019-07-08,2019-07-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1406,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2019-07-09,2019-07-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1407,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2019-07-09,2019-07-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1408,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2019-07-09,2019-07-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1409,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2019-07-09,2019-07-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1427,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2019-07-09,2019-07-11,Mussels,Detected,<400,,29,<RL,<RL,<LOQ,
BTX/2019/1428,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2019-07-10,2019-07-11,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1429,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2019-07-10,2019-07-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1437,Colne,B012F,Colchester BC,TM0621616021,Pyefleet Spit,2019-07-11,2019-07-12,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1472,The Wash,B003V,Boston BC,TF44234098,Toft,2019-07-16,2019-07-17,Mussels,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2019/1499,Poole,B54CL,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2019-07-17,2019-07-18,Mussels,ND,,,,,,,
BTX/2019/1498,North Kent Coast,B17BS,Canterbury CC,TR10296689,WOCO Westbeach,2019-07-17,2019-07-18,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1497,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2019-07-17,2019-07-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1473,St. Austell Bay,B70AM,Cornwall PHA,SX02264678,Pentewan,2019-07-16,2019-07-17,Mussels,ND,,,91,<RL,<RL,,Additional flesh and water requested 
BTX/2019/1474,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2019-07-16,2019-07-17,Mussels,,,,54,<RL,<RL,,
BTX/2019/1475,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2019-07-16,2019-07-17,Mussels,,,,64,<RL,<RL,,
BTX/2019/1476,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2019-07-16,2019-07-17,Mussels,ND,,,74,<RL,<RL,<LOQ,
BTX/2019/1477,Helford,B034W,Cornwall PHA,SW75512764,Porth Navas Quay,2019-07-16,2019-07-17,Pacific oysters,ND,,,,,,,
BTX/2019/1481,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2019-07-16,2019-07-17,Mussels,ND,,,45,<RL,<RL,<LOQ,
BTX/2019/1455,Roach,B73AF,London PHA,TQ94909207,Paglesham,2019-07-15,2019-07-16,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/1478,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2019-07-16,2019-07-17,Pacific oysters,ND,,,,,,,
BTX/2019/1500,Porlock,B094D,Somerset West & Taunton Council,SS87114786,Porlock East,2019-07-17,2019-07-18,Pacific oysters,ND,,,,,,,
BTX/2019/1480,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2019-07-16,2019-07-17,Pacific oysters,,,,<RL,<RL,<RL,,
