SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2013/1149,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2013-05-08,2013-05-09,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1150,Yealm,B031L,Plymouth PHA,SX54224904,Thorn,2013-05-08,2013-05-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1151,Deben,B010L,Suffolk Coastal DC,TM29834380,Girlings Hard,2013-05-08,2013-05-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1152,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2013-05-07,2013-05-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1153,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2013-05-08,2013-05-09,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1159,Portland,B25AE,Weymouth PHA,SY69977672,North Eastern Breakwater,2013-05-13,2013-05-14,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1177,Anglesey - Red Wharf Bay,B057A,Ynys Mon CC,SH54008085,Traeth Coch,2013-05-13,2013-05-14,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1178,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2013-05-13,2013-05-14,Pacific oysters,ND,,<RL,21,<RL,<LOQ,
BTX/2013/1179,Milford Haven,B39CY,Pembrokeshire CC,SM95500420,Carr Rocks,2013-05-12,2013-05-14,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1184,Blackwater,B014D,Maldon DC,TL925077,Goldhanger ,2013-05-13,2013-05-14,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1186,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm ,2013-05-14,2013-05-14,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1206,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2013-05-14,2013-05-15,Mussels,ND,,,,,,
BTX/2013/1207,The Wash,B004H,Kings Lynn & West Norfolk BC,TF52292843,Breast Sand,2013-05-14,2013-05-15,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1208,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2013-05-14,2013-05-15,Mussels,ND,,,,,,
BTX/2013/1210,North Kent Coast,B17AM,Canterbury CC,TR0820465507,Pollard,2013-05-14,2013-05-15,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1226,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD185706,Cocken Tunnel,2013-05-15,2013-05-16,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1227,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD233647,Roa Island,2013-05-15,2013-05-16,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1228,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2013-05-15,2013-05-16,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1229,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2013-05-14,2013-05-16,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1230,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2013-05-14,2013-05-16,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1231,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2013-05-14,2013-05-16,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1234,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2013-05-16,2013-05-17,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1257,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2013-05-20,2013-05-21,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1258,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2013-05-20,2013-05-21,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1259,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2013-05-20,2013-05-21,Mussels,ND,,,,,,
BTX/2013/1260,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2013-05-20,2013-05-21,Mussels,ND,,,,,,
BTX/2013/1261,Menai Strait - East,B055D,Gwynedd CC,SH57587302,Bangor ,2013-05-20,2013-05-21,Mussels,ND,,,,,,
BTX/2013/1291,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2013-05-21,2013-05-22,Pacific oysters,ND,,,,,,
BTX/2013/1292,Crouch,B015W,Maldon DC,TQ864966,Purleigh Shawl,2013-05-21,2013-05-22,Hard clams,ND,,<RL,<RL,<RL,1.5,
BTX/2013/1293,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2013-05-21,2013-05-22,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1305,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels ,2013-05-22,2013-05-23,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1306,Mawddach,B064M,Gwynedd CC,SH62091557,Porth Aberammffra,2013-05-22,2013-05-23,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1307,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2013-05-22,2013-05-23,Pacific oysters,ND,,,,,,
BTX/2013/1308,Burry Inlet,B038T,City and Council of Swansea,SS4418695601,Whitford Point,2013-05-22,2013-05-23,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1309,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2013-05-22,2013-05-23,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1310,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2013-05-22,2013-05-23,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1312,West Mersea,B013W,Colchester BC,TL98241310,Salcott Upper,2013-05-22,2013-05-23,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1351,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2013-05-28,2013-05-29,Native oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1352,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2013-05-28,2013-05-29,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1353,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2013-05-28,2013-05-29,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1354,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2013-05-28,2013-05-29,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1355,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2013-05-28,2013-05-29,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1356,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2013-05-28,2013-05-29,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2013/1357,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2013-05-28,2013-05-29,Mussels,ND,,,,,,
