SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(MGPerKG),ActionRequired
BTX-2018-1123,Porlock,B094D,West Somerset Council,SS87114786,Porlock East,2018-06-13,2018-06-14,Pacific oysters,ND,,,,,,,
BTX-2018-1124,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2018-06-14,2018-06-15,Mussels,,,,316,<RL,<RL,,Additional flesh samples required
BTX-2018-1141,The Wash,B003V,Boston BC,TF44234098,Toft,2018-06-18,2018-06-19,Mussels,ND,,,,,,,
BTX-2018-1142,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2018-06-17,2018-06-19,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1143,Menai Strait - East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2018-06-17,2018-06-19,Mussels,ND,,,,,,,
BTX-2018-1144,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2018-06-18,2018-06-19,Pacific oysters,,,,<RL,<RL,<RL,,
BTX-2018-1145,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2018-06-17,2018-06-19,Pacific oysters,Detected,<400,,,,,,
BTX-2018-1166,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2018-06-19,2018-06-20,Mussels,Detected,<400,,32,<RL,<RL,<LOQ,
BTX-2018-1167,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2018-06-19,2018-06-20,Mussels,Detected,<400,,,,,,
BTX-2018-1168,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2018-06-19,2018-06-20,Mussels,ND,,,196,<RL,<RL,,Additional flesh samples requested
BTX-2018-1169,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2018-06-19,2018-06-20,Mussels,,,,253,<RL,<RL,,Additional flesh samples requested
BTX-2018-1170,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2018-06-19,2018-06-20,Mussels,Detected,<400,,43,<RL,<RL,<LOQ,
BTX-2018-1171,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2018-06-19,2018-06-20,Mussels,ND,,,,,,,
BTX-2018-1172,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2018-06-19,2018-06-20,Mussels,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2018-1173,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2018-06-19,2018-06-20,Mussels,,,,110,<RL,<RL,,Additional flesh and water samples requested
BTX-2018-1174,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2018-06-19,2018-06-20,Mussels,ND,,,30,<RL,<RL,<LOQ,
BTX-2018-1175,Dee,B45AE,Wirral BC,SJ21068470,West Kirby,2018-06-19,2018-06-20,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2018-1192,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2018-06-20,2018-06-21,Mussels,,,,49,<RL,<RL,,
BTX-2018-1216,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,2018-06-25,2018-06-26,Surf clams,,,,<RL,<RL,<RL,,
BTX-2018-1217,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2018-06-25,2018-06-26,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1219,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2018-06-26,2018-06-26,Pacific oysters,ND,,,,,,,
BTX-2018-1239,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2018-06-26,2018-06-27,Mussels,ND,,,,,,,
BTX-2018-1240,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2018-06-26,2018-06-27,Mussels,,,,251,<RL,<RL,,Additional flesh sample requested
BTX-2018-1241,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2018-06-26,2018-06-27,Mussels,,,,385,<RL,<RL,,Additional flesh sample requested
BTX-2018-1242,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2018-06-26,2018-06-27,Mussels,Detected,<400,,51,<RL,<RL,,
BTX-2018-1243,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2018-06-26,2018-06-27,Mussels,,,,1180,<RL,<RL,,Additional flesh sample requested
BTX-2018-1244,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2018-06-26,2018-06-27,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1245,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2018-06-26,2018-06-27,Cockles,,,,<RL,<RL,<RL,,
BTX-2018-1246,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2018-06-26,2018-06-27,Cockles,,,,<RL,<RL,<RL,,
BTX-2018-1247,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2018-06-26,2018-06-27,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1248,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2018-06-26,2018-06-27,Mussels,ND,,,,,,,
BTX-2018-1256,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2018-06-27,2018-06-28,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1257,Beaulieu,B023I,New Forest DC,SU40280135,Landing Stage,2018-06-27,2018-06-28,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1258,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2018-06-26,2018-06-28,Mussels,ND,,,91,<RL,<RL,,Additional flesh and water samples requested
BTX-2018-1259,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2018-06-26,2018-06-28,Mussels,,,,94,<RL,<RL,,Additional flesh and water samples requested
BTX-2018-1260,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2018-06-27,2018-06-28,Mussels,,,,61,<RL,<RL,,
BTX-2018-1267,Porlock,B094E,West Somerset Council,SS87184778,Porlock Relay,2018-06-28,2018-06-29,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1290,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2018-07-02,2018-07-03,Pacific oysters,unsuitable for testing,,,unsuitable for testing,unsuitable for testing,unsuitable for testing,unsuitable for testing,
BTX-2018-1291,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2018-07-02,2018-07-03,Mussels,,,,1547,<RL,<RL,,
BTX-2018-1292,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2018-07-01,2018-07-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1293,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2018-07-01,2018-07-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1294,West Mersea,B13AA,Colchester BC,TM0299212168,West Mersea Outfall,2018-07-02,2018-07-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1295,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2018-07-02,2018-07-03,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1296,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2018-07-02,2018-07-03,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2018-1297,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2018-07-02,2018-07-03,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1298,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2018-07-02,2018-07-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1299,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2018-07-01,2018-07-03,Pacific oysters,Detected,<400,,<RL,<RL,<RL,1.3,
BTX-2018-1300,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2018-07-02,2018-07-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1301,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2018-07-02,2018-07-03,Mussels,ND,,,29,<RL,<RL,<LOQ,
BTX-2018-1321,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2018-07-03,2018-07-04,Mussels,,,,116,<RL,<RL,,
BTX-2018-1322,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2018-07-03,2018-07-04,Mussels,,,,362,<RL,<RL,,
BTX-2018-1323,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2018-07-03,2018-07-04,Mussels,ND,,,102,<RL,<RL,<LOQ,
BTX-2018-1324,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2018-07-03,2018-07-04,Mussels,,,,437,<RL,<RL,,
BTX-2018-1325,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2018-07-03,2018-07-04,Mussels,Detected,<400,,34,<RL,<RL,<LOQ,
BTX-2018-1326,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2018-07-03,2018-07-04,Mussels,Detected,<400,,49,<RL,<RL,<LOQ,
BTX-2018-1327,Swale,B076P,Swale BC,TR01316497,The Causeway,2018-07-03,2018-07-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1328,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2018-07-03,2018-07-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-1329,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2018-07-03,2018-07-04,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
