SampleNumber,NameOfSite,BedId,LocalAuthority,GridReference,BedName,DateSampleCollected,DateSampleArrivedAtWeymouth,DateSampleArrivedAtBurnham,SpeciesSampled,PSPResultSTXequivalent,DSPResultNegative,DSPResultPositive,DomoicAcid,SampleNumber2
BTX/2005/1020,The Wash,B004F,Kings Lynn & W Norfolk BC,TF602342,Stylemans,2005-10-18,2005-10-19,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1020
BTX/2005/1021,The Wash,,Kings Lynn & W Norfolk BC,,Zone 3,2005-10-18,2005-10-19,,Cockles,UNSUITABLE,UNSUITABLE,,UNSUITABLE,BTX/2005/1021
BTX/2005/1022,The Wash,,Boston BC,,Zone 1,2005-10-17,2005-10-19,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/1022
BTX/2005/1023,The Wash,,Boston BC,,Zone 2,2005-10-17,2005-10-19,,Cockles,ND,,NEGATIVE,<RL,BTX/2005/1023
BTX/2005/1024,Bigbury and Avon,B030D,South Hams DC,SX67254489,Hexdown Quay,2005-10-18,2005-10-19,,Pacific Oysters,,,NEGATIVE,,BTX/2005/1024
BTX/2005/1025,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2005-10-18,2005-10-19,,Pacific Oysters,ND,,NEGATIVE,<RL,BTX/2005/1025
BTX/2005/1026,Fowey,B070I,Fowey PHA,SX13405165,Pont Pill No 34,2005-10-18,2005-10-19,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1026
BTX/2005/1054,SW72 EC62 EC63 EC64,,Plymouth PHA,,F/V Matanja,2005-10-20,2005-10-21,,King Scallops,ND,,NEGATIVE,,BTX/2005/1054
BTX/2005/1055,SW72 EC62 EC63 EC64,,Plymouth PHA,,F/V Philomena,2005-10-20,2005-10-21,,King Scallops,ND,,NEGATIVE,,BTX/2005/1055
BTX/2005/1058,Walton Backwaters,B011G,Tendering DC ,TM22142478,Kirby Creek,2005-10-24,2005-10-25,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/1058
BTX/2005/1059,Swale,B076G,London PHA,TR050016580,River Swale #7,2005-10-24,2005-10-25,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1059
