SampleNumber,NameofSite,NameOfBed,LocalAuthority,GridReference,BedId,DateSampleArrivedAtBurnham,DateSampleArrivedAtWeymouth,DateSampleCollected,SpeciesSampled,PSPResult_STX_Equivalent,DSPResultPositive_Negative,DomoicAcid
BTX/2001/0105,Thames,W Shoebury,London PHA,TQ97108520,B16BH,,2001-06-19,2001-06-18,Cockles,DSP Follow up point,NEGATIVE,DSP Follow up point
BTX/2001/0106,Thames,Chapman Sands,London PHA,TQ867844 ,B016A,,2001-06-19,2001-06-18,Cockles,DSP Follow up point,POSITIVE,DSP Follow up point
BTX/2001/0107,Dovey,Aberdyfi Slipway,Gwynedd CC,SN616959,B041F,,2001-06-19,2001-06-18,Mussel,ND,NEGATIVE,<LOD
BTX/2001/0108,Portsmouth,Peewit,Portsmouth PHA,SU60290411,B020B,,2001-06-19,2001-06-18,Native Oysters,ND,NEGATIVE,<LOD
BTX/2001/0109,Crouch,Purleigh Shawl,Maldon DC,TQ866965,B015D,,2001-06-19,2001-06-18,Mussel,DSP Follow up point,NEGATIVE,<LOD
BTX/2001/0110,Solent,Calshot,Southhampton PHA,SU49100110,B24AW,,2001-06-19,2001-06-18,Native Oysters,DSP Follow up point,NEGATIVE,DSP Follow up point
BTX/2001/0111,Thames,Phoenix,London PHA,TQ92208250,B16BR,,2001-06-19,2001-06-18,Cockles,DSP Follow up point,NEGATIVE,DSP Follow up point
BTX/2001/0112,Pegwell Bay,Pegwell Bay,Thanet DC,TR353638,B061A,,2001-06-19,2001-06-18,Cockles,DSP Follow up point,NEGATIVE,<LOD
BTX/2001/0113,Thames,NE Maplin Sands 2,London PHA,TR06009180,B016G,,2001-06-19,2001-06-18,Cockles,DSP Follow up point,POSITIVE,DSP Follow up point
BTX/2001/0114,Solent,Stanswood Bay,Southhampton PHA,SZ47509960,B24AV,,2001-06-19,2001-06-18,Native Oysters,DSP Follow up point,NEGATIVE,DSP Follow up point
BTX/2001/0115,Solent,Netley,Southhampton PHA,SU453077,B021D,,2001-06-19,2001-06-18,Native Oysters,DSP Follow up point,NEGATIVE,DSP Follow up point
BTX/2001/0116,Mawddach,Crescent,Gwynedd CC,SH635151,B064B,,2001-06-19,2001-06-18,Mussel,ND,NEGATIVE,<LOD
